,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lambda,params_lr,params_n_steps,params_noptepochs,state
0,0,inf,2020-09-11 23:25:26.090436,2020-09-11 23:25:27.155172,0 days 00:00:01.064736,256,0.2,0.009354103497307514,0.9,0.99,0.00013307499401611034,2048,1,COMPLETE
1,1,inf,2020-09-11 23:25:26.091216,2020-09-11 23:25:27.163038,0 days 00:00:01.071822,256,0.3,1.2214458164506773e-05,0.95,1.0,0.6752771729027095,256,20,COMPLETE
