,number,value,datetime_start,datetime_complete,duration,params_cg_iters,params_ent_coef,params_gamma,params_lambda,params_max_kl,params_timesteps_per_batch,params_vf_iters,params_vf_stepsize,state
0,0,8.815469741821289,2020-09-11 23:26:10.309056,2020-09-11 23:26:21.230702,0 days 00:00:10.921646,30,0.010130230408794483,0.995,0.9,0.11630395714480306,512,20,0.01696174638729099,COMPLETE
1,1,-2.7052948474884033,2020-09-11 23:26:21.231190,2020-09-11 23:26:59.855394,0 days 00:00:38.624204,30,4.831596208381844e-06,0.9999,1.0,0.6053082080079019,4096,1,0.004410365667970984,COMPLETE
