seed_0,seed_1,timesteps
7.749071681807894,-12.817986136657995,150
-10.414328588151983,-1.5715235501735152,300
-6.652052823866123,-11.552309531322674,450
-5.324837983129532,-16.038468222722585,600
-16.301959852937976,-7.6573281849629335,750
-7.667553694132492,-9.362655800573776,900
-23.820829740475325,-41.530417358406716,1050
-8.425150058130452,-2.636882674645463,1200
-5.85009118450284,-20.93087993208044,1350
-20.583856117408644,-4.604295238825763,1500
-15.083382645702997,-7.510159839649077,1650
-6.029677572366442,10.159682257093394,1800
-14.271699597857795,-19.94538141596298,1950
-20.12069359674681,-2.3476615235455753,2100
-13.950472191934585,-19.717055877539146,2250
-7.814670536333279,-32.56680449387906,2400
-28.065651631994825,-15.05841134355675,2550
-0.10793942565185521,-21.417249053110815,2700
2.1565596289517193,-5.957746318932482,2850
-13.188364535372177,-0.6702114253068134,3000
-29.777342712209606,-14.709720907907588,3150
10.691670534194863,-13.595334726624653,3300
2.5265403469508976,-3.0554620881790786,3450
5.572055186476766,-1.2383989211726416,3600
-8.430145159828548,-11.636041857506568,3750
-12.341561911066467,-17.93744376403527,3900
-19.132621728151832,1.7729560177237769,4050
-3.4610508425880235,-28.614102529910422,4200
-22.970733233946802,2.2367490441920066,4350
-27.28213104620966,2.501891060859024,4500
-2.821984168788095,0.1987584739873761,4650
12.917299470351566,6.124449712844856,4800
12.841307989397071,-20.536037464290214,4950
-34.17769898211219,-20.437121887566,5100
8.609566465538778,-20.277295885928773,5250
-10.966334483080342,-0.06627798980279426,5400
-12.320273541400693,-6.354467793829087,5550
-10.122624228452652,-9.946822710170068,5700
-11.7666853735607,-17.82722780399481,5850
-3.2555412955794027,-6.248721308889389,6000
-7.142819603761688,-0.3835402790964437,6150
-12.257709278249559,0.3696755096040489,6300
-5.246750235509407,-8.56153924674665,6450
5.374156070319148,11.05620805699386,6600
-11.950156950487015,3.7302264782444143,6750
-29.10257688549094,-4.586396263263418,6900
-20.470106637279233,-11.211944143596712,7050
-21.54055031449885,-5.7886036508856415,7200
-27.149364131118922,-12.679554273593894,7350
-19.827559024954482,-1.7251533025724255,7500
