seed_0,seed_1,mean_reward,std_reward,upper,lower,timesteps
-10.37498612342065,-9.063200802197487,-9.719093462809068,6.422738647277093,-3.29635481553198,-16.141832110086156,7500
-10.871599179746635,-8.794228321254481,-9.832913750500559,6.394190259542272,-3.438723490958292,-16.227104010042822,7650
-11.143850213105207,-9.123971450257239,-10.133910831681224,6.3654442117201775,-3.768466619961052,-16.499355043401394,7800
-11.016544210771631,-9.091577393339996,-10.054060802055814,6.412900184428343,-3.641160617627476,-16.46696098648415,7950
-11.165884951625655,-8.616437519668995,-9.891161235647326,6.510867886898994,-3.380293348748338,-16.402029122546313,8100
-11.174264375381743,-8.705794817130196,-9.940029596255968,6.470378950046438,-3.4696506462095367,-16.410408546302403,8250
-10.870891479526637,-8.666139757179474,-9.768515618353057,6.602237867998631,-3.1662777503544315,-16.37075348635168,8400
-10.728328487025369,-7.944582853475173,-9.336455670250272,6.537543071241519,-2.7989125990087587,-15.873998741491784,8550
-10.705896500178142,-7.8338434502470236,-9.269869975212583,6.58169677943198,-2.6881731957806085,-15.851566754644557,8700
-10.681567813793052,-7.454927937954587,-9.068247875873821,6.457374417434103,-2.6108734584397233,-15.525622293307915,8850
-10.567924066869239,-7.739339894582155,-9.153631980725699,6.3368110516381355,-2.816820929087569,-15.490443032363826,9000
-10.601402793149996,-7.8932760255773236,-9.247339409363661,6.27658234928093,-2.970757060082737,-15.523921758644583,9150
-11.433389816566434,-7.944583574517627,-9.688986695542035,6.666922086518998,-3.022064609023041,-16.35590878206102,9300
-11.495098688217745,-7.64727945628324,-9.571189072250496,6.732954945099745,-2.838234127150757,-16.30414401735023,9450
-11.364031753170318,-7.723866306624817,-9.54394902989757,6.629128052405243,-2.914820977492334,-16.173077082302804,9600
-11.65816226999733,-7.912795171991743,-9.78547872099454,6.576527226675199,-3.208951494319347,-16.36200594766973,9750
-11.872177404831453,-7.563311800801553,-9.717744602816508,6.36323380053644,-3.3545108022800734,-16.080978403352937,9900
-11.685868045914923,-7.7220365697390685,-9.703952307826999,6.275606058694702,-3.4283462491323036,-15.97955836652169,10050
-11.982091622930477,-7.530012188617392,-9.756051905773937,6.09354384521414,-3.6625080605598055,-15.849595750988065,10200
-11.931802556120461,-7.5058123779917185,-9.718807467056092,6.106588473306312,-3.6122189937497895,-15.825395940362391,10350
-11.549946081645738,-7.7221694566096595,-9.636057769127703,6.155332187651336,-3.480725581476375,-15.791389956779023,10500
-10.9812919356782,-7.584899329263271,-9.28309563247074,6.0696717608758695,-3.2134238715948795,-15.352767393346594,10650
-11.455208545687023,-7.407821880907953,-9.431515213297493,5.909428684841549,-3.5220865284559513,-15.340943898139027,10800
-11.767502050320363,-7.869940318313683,-9.818721184317027,5.984341151227744,-3.834380033089291,-15.803062335544757,10950
-12.190130531850532,-8.01694208645226,-10.103536309151401,5.985945425770551,-4.117590883380859,-16.089481734921936,11100
-12.017265590151633,-7.6371455081752755,-9.827205549163459,6.025293310106034,-3.8019122390574323,-15.852498859269476,11250
-12.151292485085285,-7.348299942010932,-9.749796213548114,6.124811903595656,-3.6249843099524655,-15.874608117143753,11400
-12.126950280281985,-7.413651562710081,-9.770300921496037,6.079964990844433,-3.6903359306516137,-15.850265912340456,11550
-12.449574598669944,-7.144528613864749,-9.797051606267352,5.87277759071463,-3.9242740155527303,-15.669829196981969,11700
-12.167318395794718,-7.646777513438203,-9.907047954616468,5.760880496376194,-4.146167458240281,-15.667928450992648,11850
-12.448002950947295,-7.725747660077145,-10.086875305512228,5.861737700633012,-4.225137604879223,-15.948613006145225,12000
-12.589314266990407,-7.96259936957831,-10.275956818284364,5.849093044506531,-4.426863773777842,-16.125049862790878,12150
-13.191421272379056,-8.180380119510659,-10.685900695944863,5.905399177084547,-4.780501518860325,-16.591299873029392,12300
-13.783521389445776,-7.74441487417645,-10.763968131811119,5.751884949211266,-5.012083182599863,-16.515853081022367,12450
-13.313545853107476,-7.2735326979955985,-10.293539275551543,5.752338269132542,-4.54120100641901,-16.045877544684068,12600
-13.656570026675784,-6.907140877085851,-10.281855451880823,5.529309019342219,-4.7525464325386135,-15.811164471223023,12750
-13.6784969110727,-7.173242999765798,-10.425869955419255,5.433395508618182,-4.992474446801082,-15.859265464037419,12900
-13.687579025165622,-7.7207905515223665,-10.704184788344001,5.583312112498573,-5.120872675845435,-16.287496900842555,13050
-13.903329356419022,-7.5445230754595345,-10.723926215939285,5.779321016156689,-4.944605199782603,-16.50324723209596,13200
-14.302447361878142,-7.04494155920955,-10.673694460543851,6.107459928402559,-4.566234532141301,-16.781154388946394,13350
-14.491385818305664,-6.777275351204661,-10.63433058475517,6.275898660352566,-4.358431924402613,-16.91022924510772,13500
