,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lr,params_memory_limit,params_noise_std,params_noise_type,params_normalize_observations,params_normalize_returns,state
0,0,38.297237396240234,2020-09-12 13:08:26.952185,2020-09-12 13:08:45.124380,0 days 00:00:18.172195,32,0.9999,0.0009556962779065655,100000,0.9516298987982656,ornstein-uhlenbeck,True,False,COMPLETE
1,1,115.27530670166016,2020-09-12 13:08:26.954277,2020-09-12 13:08:47.001298,0 days 00:00:20.047021,32,0.9999,0.00012634689639299913,10000,0.17594889478405706,adaptive-param,True,False,COMPLETE
