mean reward,std reward (seed),std reward (eval),mean train walltime (s),std train walltime (s),mean success ratio 50mm,std success ratio 50mm,mean reach time 50mm,std reach time 50mm,mean success ratio 20mm,std success ratio 20mm,mean reach time 20mm,std reach time 20mm,mean success ratio 10mm,std success ratio 10mm,mean reach time 10mm,std reach time 10mm,mean success ratio 5mm,std success ratio 5mm,mean reach time 5mm,std reach time 5mm,exp type,efficiency (reward / s),mean train walltime (min),std train walltime (min)
-15.58,5.86,10.02,36.26,2.18,0.03,0.04,20.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,A2C,-0.43,0.6,0.04
-10.89,0.56,11.68,37.3,1.16,0.03,0.04,7.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,ACKTR,-0.29,0.62,0.02
-1.48,2.17,11.06,167.26,3.35,0.05,0.0,14.5,9.19,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,DDPG,-0.01,2.79,0.06
-5.16,1.62,8.84,31.81,0.99,0.02,0.04,8.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,PPO2,-0.16,0.53,0.02
9.33,0.5,9.86,229.87,9.86,0.31,0.06,39.48,17.42,0.03,0.04,88.0,,0.0,0.0,,,0.0,0.0,,,SAC,0.04,3.83,0.16
0.05,0.66,10.74,187.34,4.09,0.1,0.08,47.83,6.84,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,TD3,0.0,3.12,0.07
-4.94,4.34,10.41,70.68,6.33,0.08,0.04,61.75,30.05,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,TRPO,-0.07,1.18,0.11
