,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,0,-2.329242706298828,2020-09-11 23:24:46.547282,2020-09-11 23:24:55.062310,0 days 00:00:08.515028,3.6602096543372e-05,0.99,0.0021179874795039903,constant,32,0.09910147767132482,COMPLETE
1,1,inf,2020-09-11 23:24:46.548938,2020-09-11 23:24:47.477989,0 days 00:00:00.929051,3.8046221766398486e-05,0.995,2.164595860813797e-05,linear,2048,0.6856830901881195,COMPLETE
