,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,0,-4.328743934631348,2020-09-12 13:08:12.204015,2020-09-12 13:08:24.519042,0 days 00:00:12.315027,5.483573114765248e-06,0.999,0.0004705233746312844,constant,16,0.8067838931247773,COMPLETE
1,1,inf,2020-09-12 13:08:12.204916,2020-09-12 13:08:15.494944,0 days 00:00:03.290028,1.1847397983925118e-08,0.9,0.19562683609595183,linear,128,0.871054263093223,COMPLETE
