seed 1,seed 2,mean_reward,std_reward,upper,lower,timesteps
-14.07365248,-10.625494940000003,-12.349573709999998,11.594638247199963,-0.7549354628000358,-23.944211957199965,7500
-14.07535828,-11.227517200000005,-12.651437739999997,11.378263275172033,-1.2731744648279675,-24.02970101517203,7650
-15.461461719999999,-11.133830100000004,-13.297645909999996,11.799903369613927,-1.497742540386073,-25.097549279613926,7800
-15.48266842,-11.120062680000006,-13.301365549999996,11.775172932195897,-1.5261926178041052,-25.076538482195897,7950
-15.046554919999998,-11.379342880000003,-13.212948899999994,11.661069981769355,-1.5518789182306465,-24.874018881769356,8100
-15.11482146,-11.925035820000003,-13.519928639999995,11.548278898269679,-1.9716497417303238,-25.06820753826968,8250
-15.24916406,-12.195522220000003,-13.722343139999994,11.644547102466186,-2.077796037533819,-25.366890242466187,8400
-15.29340686,-12.394585720000002,-13.843996289999993,11.649172245495519,-2.1948240445044847,-25.493168535495524,8550
-15.28274666,-12.489836700000003,-13.886291679999992,11.574281731914052,-2.3120099480859535,-25.460573411914055,8700
-15.42551774,-12.561188920000005,-13.993353329999993,11.52378097170344,-2.4695723582965665,-25.51713430170344,8850
-15.53040704,-12.228739800000005,-13.879573419999994,11.21453600924803,-2.6650374107519768,-25.094109429248032,9000
-15.210720020000002,-12.762883460000005,-13.986801739999994,10.639032944043173,-3.3477687959568367,-24.625834684043173,9150
-15.623905880000002,-12.642864340000003,-14.133385109999995,10.262000086922734,-3.8713850230772744,-24.39538519692274,9300
-15.093774820000004,-12.276354420000002,-13.685064619999993,10.377697704562209,-3.3073669154378007,-24.062762324562215,9450
-14.888107480000004,-11.963988660000002,-13.426048069999995,10.321580989158326,-3.1044670808416823,-23.74762905915833,9600
-14.097231660000002,-12.184831700000002,-13.141031679999994,10.075356890291896,-3.065674789708113,-23.216388570291898,9750
-13.763072580000003,-12.98987036,-13.376471469999995,9.64016933702925,-3.736302132970761,-23.01664080702925,9900
-13.913537180000002,-12.56153846,-13.237537819999993,9.519800656846071,-3.717737163153939,-22.757338476846076,10050
-13.728880580000002,-12.35575222,-13.042316399999994,9.5347415685741,-3.5075748314259076,-22.577057968574103,10200
-13.523585660000004,-12.350757799999998,-12.937171729999994,9.393107726749044,-3.544064003250964,-22.33027945674905,10350
-13.439992120000005,-12.57237228,-13.006182199999994,9.469593360091785,-3.536588839908223,-22.475775560091787,10500
-13.250463860000004,-13.17596828,-13.213216069999994,9.06988573810331,-4.143330331896697,-22.28310180810331,10650
-13.873901380000005,-13.939257879999998,-13.906579629999994,8.970995383972266,-4.935584246027742,-22.877575013972265,10800
-14.285695720000003,-14.142271799999996,-14.213983759999994,8.82336533321129,-5.390618426788717,-23.037349093211287,10950
-14.455351900000005,-13.826370119999996,-14.140861009999995,9.0034804351854,-5.137380574814606,-23.1443414451854,11100
-14.501026500000007,-13.842920959999997,-14.171973729999996,8.98288682699575,-5.189086903004255,-23.15486055699575,11250
-14.754153800000008,-14.130396379999997,-14.442275089999995,8.958599038422742,-5.483676051577265,-23.40087412842274,11400
-14.908937300000007,-14.738599759999998,-14.823768529999995,9.228940131290255,-5.594828398709754,-24.05270866129025,11550
-14.830560880000005,-15.239483079999998,-15.035021979999994,9.54593407897079,-5.489087901029218,-24.580956058970784,11700
