,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lambda,params_lr,params_n_steps,params_noptepochs,state
0,0,inf,2020-09-12 13:08:49.609104,2020-09-12 13:08:50.711691,0 days 00:00:01.102587,32,0.4,8.545019951487603e-06,0.9999,0.95,1.9339212097600702e-05,1024,30,COMPLETE
1,1,inf,2020-09-12 13:08:49.610408,2020-09-12 13:08:50.690423,0 days 00:00:01.080015,32,0.1,6.32003423057695e-08,0.99,0.9,0.006323051291783757,512,10,COMPLETE
