,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_net_arch,params_train_freq,state
0,0,69.69486236572266,2020-09-12 13:08:53.191723,2020-09-12 13:09:10.698500,0 days 00:00:17.506777,32,100000,0.5,0.95,1000,0.005110187540795649,big,300,COMPLETE
1,1,-2.348376989364624,2020-09-12 13:08:53.193004,2020-09-12 13:09:10.739131,0 days 00:00:17.546127,64,1000000,0.0001,0.98,1000,0.15862044077320953,small,100,COMPLETE
