,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
0,0,inf,2020-09-11 23:24:57.552636,2020-09-11 23:25:00.883303,0 days 00:00:03.330667,2.686661934221142e-06,0.999,0.09602914107173333,constant,512,0.6677156504388658,COMPLETE
1,1,inf,2020-09-11 23:24:57.553837,2020-09-11 23:25:00.882800,0 days 00:00:03.328963,0.00034350943631195405,0.99,0.3427999028826516,constant,256,0.9881115690717435,COMPLETE
