,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_noise_std,params_noise_type,params_train_freq,state
0,0,49.05100631713867,2020-09-12 13:09:13.366679,2020-09-12 13:09:31.688084,0 days 00:00:18.321405,64,1000000,0.9,0.0003898825700552081,0.04635886587664062,normal,1000,COMPLETE
1,1,59.274444580078125,2020-09-12 13:09:13.367294,2020-09-12 13:09:32.205762,0 days 00:00:18.838468,512,100000,0.9999,0.24364790791718505,0.3026529016065648,ornstein-uhlenbeck,100,COMPLETE
