,number,value,datetime_start,datetime_complete,duration,params_cg_iters,params_ent_coef,params_gamma,params_lambda,params_max_kl,params_timesteps_per_batch,params_vf_iters,params_vf_stepsize,state
0,0,1.3605537414550781,2020-09-12 13:09:34.727709,2020-09-12 13:09:45.618760,0 days 00:00:10.891051,30,0.010130230408794483,0.995,0.9,0.11630395714480306,512,20,0.01696174638729099,COMPLETE
1,1,-2.7052948474884033,2020-09-12 13:09:45.619253,2020-09-12 13:10:23.956059,0 days 00:00:38.336806,30,4.831596208381844e-06,0.9999,1.0,0.6053082080079019,4096,1,0.004410365667970984,COMPLETE
